"Var1" "Freq"
"1" "1103" 409
"2" "1107" 48
"3" "1108" 65
"4" "1109" 75
"5" "1112" 44
"6" "1113" 431
"7" "1117" 163
"8" "1126" 185
"9" "1132" 305
"10" "1135" 214
"11" "1136" 285
"12" "1137" 42
"13" "1138" 97
"14" "1139" 414
"15" "1141" 106
"16" "1147" 87
"17" "1149" 4
"18" "1151" 26
"19" "1155" 30
"20" "1157" 95
"21" "1158" 75
"22" "1159" 115
"23" "1161" 76
"24" "1165" 5
"25" "1167" 19
"26" "1172" 8
"27" "1175" 183
"28" "1176" 41
"29" "1180" 35
"30" "1181" 61
"31" "1182" 66
"32" "2107" 10
"33" "2108" 28
"34" "2110" 25
"35" "2111" 49
"36" "2112" 19
"37" "2113" 34
"38" "2114" 20
"39" "2116" 13
"40" "3007" 248
"41" "3011" 1
"42" "3012" 273
"43" "3013" 97
"44" "3014" 442
"45" "3015" 11
"46" "3018" 126
"47" "3019" 78
"48" "3020" 96
"49" "3021" 87
"50" "3022" 175
"51" "3023" 139
"52" "3024" 231
"53" "3026" 68
"54" "3028" 346
"55" "3029" 1
"56" "3031" 1
"57" "3032" 89
"58" "3035" 34
"59" "3037" 4
"60" "5001" 58
"61" "5002" 48
"62" "5003" 90
"63" "5004" 184
"64" "5005" 13
"65" "5008" 57
"66" "5009" 13
"67" "5010" 272
"68" "5011" 122
"69" "5012" 68
"70" "5013" 141
"71" "5015" 96
"72" "5016" 243
"73" "5017" 26
"74" "5018" 0
"75" "5019" 10
"76" "5020" 10
"77" "5021" 1
"78" "5022" 51
"79" "5024" 192
"80" "5026" 1
"81" "5027" 166
"82" "5028" 3
"83" "5029" 46
"84" "5030" 107
"85" "5031" 34
"86" "5032" 38
"87" "5033" 145
"88" "5034" 14
"89" "5036" 23
"90" "5037" 10
"91" "5038" 5
"92" "1101" 0
"93" "1102" 0
"94" "1104" 0
"95" "1105" 0
"96" "1106" 0
"97" "1110" 0
"98" "1111" 0
"99" "1114" 0
"100" "1115" 0
"101" "1116" 0
"102" "1118" 0
"103" "1119" 0
"104" "1120" 0
"105" "1122" 0
"106" "1123" 0
"107" "1125" 0
"108" "1127" 0
"109" "1128" 0
"110" "1129" 0
"111" "1130" 0
"112" "1131" 0
"113" "1133" 0
"114" "1142" 0
"115" "1143" 0
"116" "1146" 0
"117" "1150" 0
"118" "1152" 0
"119" "1153" 0
"120" "1154" 0
"121" "1156" 0
"122" "1160" 0
"123" "1162" 0
"124" "1163" 0
"125" "1164" 0
"126" "1166" 0
"127" "1168" 0
"128" "1169" 0
"129" "1170" 0
"130" "1171" 0
"131" "1173" 0
"132" "1174" 0
"133" "1178" 0
"134" "1179" 0
"135" "2101" 0
"136" "2102" 0
"137" "2103" 0
"138" "2104" 0
"139" "2105" 0
"140" "2106" 0
"141" "2109" 0
"142" "2115" 0
"143" "2117" 0
"144" "2118" 0
"145" "2120" 0
"146" "2121" 0
"147" "2122" 0
"148" "2123" 0
"149" "2124" 0
"150" "3001" 0
"151" "3002" 0
"152" "3003" 0
"153" "3004" 0
"154" "3005" 0
"155" "3006" 0
"156" "3008" 0
"157" "3009" 0
"158" "3010" 0
"159" "3016" 0
"160" "3017" 0
"161" "3025" 0
"162" "3027" 0
"163" "3030" 0
"164" "3033" 0
"165" "3034" 0
"166" "3039" 0
"167" "5006" 0
"168" "5007" 0
"169" "5014" 0
"170" "5023" 0
"171" "5035" 0
"172" "6001" 0
