"Mo-Mac" "LAM" "PVM" "IM"
"1103" 27.1495570609693 15.8936946326212 29.2860865033872 27.6706618030224
"1107" 15.1578947368421 33.0526315789474 14.1052631578947 37.6842105263158
"1108" 12 21.3333333333333 26.6666666666667 40
"1109" 88.8888888888889 0 11.1111111111111 0
"1112" 19.047619047619 13.0952380952381 44.047619047619 23.8095238095238
"1113" 22.4839400428266 14.5610278372591 35.117773019272 27.8372591006424
"1117" 19.8830409356725 9.35672514619883 60.233918128655 10.5263157894737
"1126" 12.303664921466 13.3507853403141 56.6753926701571 17.6701570680628
"1132" 34.6938775510204 36.734693877551 14.2857142857143 14.2857142857143
"1135" 22.6510067114094 9.73154362416107 51.8456375838926 15.7718120805369
"1136" 7.84313725490196 15.2941176470588 57.6470588235294 19.2156862745098
"1137" 27.7310924369748 11.7647058823529 44.5378151260504 15.9663865546218
"1138" 23.2 9.6 48.64 18.56
"1139" 22.3325062034739 14.8883374689826 53.8461538461538 8.93300248138958
"1141" 14.8086522462562 12.9783693843594 41.0981697171381 31.1148086522463
"1147" 9.09090909090909 28.7878787878788 9.09090909090909 53.030303030303
"1149" 12.5 25 37.5 25
"1151" 21.1640211640212 32.2751322751323 9.52380952380952 37.037037037037
"1155" 23.8095238095238 26.3736263736264 12.8205128205128 36.996336996337
"1157" 16.6666666666667 20.2380952380952 46.4285714285714 16.6666666666667
"1158" 33.2443257676903 12.9506008010681 28.3044058744993 25.5006675567423
"1159" 25.3918495297806 6.89655172413793 49.8432601880878 17.8683385579937
"1161" 27.1604938271605 10.2880658436214 38.477366255144 24.0740740740741
"1165" 0 25 58.3333333333333 16.6666666666667
"1167" 21.2121212121212 12.1212121212121 60.6060606060606 6.06060606060606
"1172" 20 0 80 0
"1175" 17.1717171717172 18.4343434343434 30.050505050505 34.3434343434343
"1176" 4.18410041841004 21.3389121338912 16.7364016736402 57.7405857740586
"1180" 29.4117647058824 11.7647058823529 20.5882352941176 38.2352941176471
"1181" 27.2727272727273 5.3475935828877 59.8930481283422 7.48663101604278
"1182" 19.5121951219512 36.5853658536585 12.1951219512195 31.7073170731707
"2107" 13.6986301369863 37.2602739726027 13.1506849315068 35.8904109589041
"2108" 24.1779497098646 27.4661508704062 20.889748549323 27.4661508704062
"2110" 24.6987951807229 24.6987951807229 23.4939759036145 27.1084337349398
"2111" 12.7579737335835 29.1744840525328 24.671669793621 33.3958724202627
"2112" 11.2289457267623 33.9363693075483 10.2932002495321 44.5414847161572
"2113" 21.1045364891519 32.741617357002 15.3846153846154 30.7692307692308
"2114" 16.9871794871795 25.9615384615385 25.3205128205128 31.7307692307692
"2116" 9 37 20 34
"3007" 26.5486725663717 15.929203539823 34.070796460177 23.4513274336283
"3011" 15.7446808510638 30.2127659574468 27.6595744680851 26.3829787234043
"3012" 18.705035971223 14.7482014388489 43.1654676258993 23.3812949640288
"3013" 7.69230769230769 15.3846153846154 42.3076923076923 34.6153846153846
"3014" 20.8791208791209 12.0879120879121 61.5384615384615 5.49450549450549
"3015" 43.75 9.375 25 21.875
"3018" 23.4817813765182 25.9109311740891 19.4331983805668 31.1740890688259
"3019" 27.7777777777778 27.2727272727273 18.1818181818182 26.7676767676768
"3020" 13.2075471698113 41.5094339622642 12.2641509433962 33.0188679245283
"3021" 9.67238689547582 21.5288611544462 22.3088923556942 46.4898595943838
"3022" 22.1884498480243 19.1489361702128 27.355623100304 31.306990881459
"3023" 18.6046511627907 21.2624584717608 21.5946843853821 38.5382059800665
"3024" 21.8032786885246 18.8524590163934 24.7540983606557 34.5901639344262
"3026" 27.5510204081633 18.3673469387755 27.5510204081633 26.530612244898
