"Var1" "Freq"
"1" "1103" 163
"2" "1107" 494
"3" "1108" 110
"4" "1109" 40
"5" "1112" 40
"6" "1113" 13
"7" "1117" 20
"8" "1126" 73
"9" "1132" 5
"10" "1135" 80
"11" "1136" 189
"12" "1137" 11
"13" "1138" 363
"14" "1139" 76
"15" "1141" 17
"16" "1147" 1932
"17" "1149" 40
"18" "1151" 2738
"19" "1155" 2016
"20" "1157" 683
"21" "1158" 775
"22" "1159" 1327
"23" "1161" 1133
"24" "1165" 113
"25" "1167" 915
"26" "1172" 175
"27" "1175" 658
"28" "1176" 865
"29" "1180" 414
"30" "1181" 3690
"31" "1182" 18
"32" "2107" 1149
"33" "2108" 3029
"34" "2110" 62
"35" "2111" 1079
"36" "2112" 572
"37" "2113" 425
"38" "2114" 851
"39" "2116" 232
"40" "3007" 1
"41" "3011" 5
"42" "3012" 55
"43" "3014" 15
"44" "3015" 29
"45" "3018" 767
"46" "3019" 305
"47" "3020" 1688
"48" "3021" 1401
"49" "3022" 1540
"50" "3023" 302
"51" "3024" 325
"52" "3026" 82
"53" "3028" 1849
"54" "3029" 924
"55" "3031" 351
"56" "3032" 738
"57" "3035" 495
"58" "3037" 1
"59" "5001" 50
"60" "5002" 159
"61" "5003" 906
"62" "5004" 693
"63" "5005" 750
"64" "5008" 883
"65" "5009" 389
"66" "5010" 548
"67" "5011" 1042
"68" "5012" 412
"69" "5013" 147
"70" "5015" 43
"71" "5016" 412
"72" "5017" 345
"73" "5018" 205
"74" "5019" 133
"75" "5020" 289
"76" "5021" 586
"77" "5022" 626
"78" "5024" 862
"79" "5026" 24
"80" "5027" 646
"81" "5028" 1587
"82" "5029" 382
"83" "5030" 1591
"84" "5031" 852
"85" "5032" 343
"86" "5033" 674
"87" "5034" 1072
"88" "5036" 1338
"89" "5037" 2312
"90" "5038" 440
"91" "1101" 0
"92" "1102" 0
"93" "1104" 0
"94" "1105" 0
"95" "1106" 0
"96" "1110" 0
"97" "1111" 0
"98" "1114" 0
"99" "1115" 0
"100" "1116" 0
"101" "1118" 0
"102" "1119" 0
"103" "1120" 0
"104" "1122" 0
"105" "1123" 0
"106" "1125" 0
"107" "1127" 0
"108" "1128" 0
"109" "1129" 0
"110" "1130" 0
"111" "1131" 0
"112" "1133" 0
"113" "1142" 0
"114" "1143" 0
"115" "1146" 0
"116" "1150" 0
"117" "1152" 0
"118" "1153" 0
"119" "1154" 0
"120" "1156" 0
"121" "1160" 0
"122" "1162" 0
"123" "1163" 0
"124" "1164" 0
"125" "1166" 0
"126" "1168" 0
"127" "1169" 0
"128" "1170" 0
"129" "1171" 0
"130" "1173" 0
"131" "1174" 0
"132" "1178" 0
"133" "1179" 0
"134" "2101" 0
"135" "2102" 0
"136" "2103" 0
"137" "2104" 0
"138" "2105" 0
"139" "2106" 0
"140" "2109" 0
"141" "2115" 0
"142" "2117" 0
"143" "2118" 0
"144" "2120" 0
"145" "2121" 0
"146" "2122" 0
"147" "2123" 0
"148" "2124" 0
"149" "3001" 0
"150" "3002" 0
"151" "3003" 0
"152" "3004" 0
"153" "3005" 0
"154" "3006" 0
"155" "3008" 0
"156" "3009" 0
"157" "3010" 0
"158" "3013" 0
"159" "3016" 0
"160" "3017" 0
"161" "3025" 0
"162" "3027" 0
"163" "3030" 0
"164" "3033" 0
"165" "3034" 0
"166" "3039" 0
"167" "5006" 0
"168" "5007" 0
"169" "5014" 0
"170" "5023" 0
"171" "5035" 0
"172" "6001" 0
